"","Agno","Grado","rbd","Grupo_socioeconomico","PtjeLectura","PtjeMatematica","Autoestima","Convivencia","HabitosSaludables","FormacionCiudadana","Desempeno"
"206",2016,"4b",303,"Medio",280,269,71,78,67,75,"MEDIO-BAJO"
"207",2016,"4b",304,"Medio alto",271,256,75,74,73,77,"MEDIO"
"208",2016,"4b",304,"Medio alto",271,256,75,74,73,77,"MEDIO-BAJO"
"209",2016,"4b",305,"Medio",282,287,78,79,71,80,"MEDIO"
"210",2016,"4b",306,"Medio",251,223,72,79,77,82,"MEDIO-BAJO"
"211",2016,"4b",310,"Medio",248,251,68,69,64,70,"MEDIO-BAJO"
"212",2016,"4b",312,"Medio",266,246,79,82,71,80,"INSUFICIENTE"
"213",2016,"4b",312,"Medio",266,246,79,82,71,80,"MEDIO-BAJO"
"214",2016,"4b",313,"Medio",272,291,77,73,72,77,"MEDIO"
"215",2016,"4b",315,"Medio bajo",252,252,71,75,69,74,"INSUFICIENTE"
"216",2016,"4b",315,"Medio bajo",252,252,71,75,69,74,"MEDIO-BAJO"
"217",2016,"4b",316,"Medio",259,246,73,74,67,77,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"218",2016,"4b",316,"Medio",259,246,73,74,67,77,"MEDIO-BAJO"
"219",2016,"4b",317,"Medio",270,258,72,67,67,70,"INSUFICIENTE"
"220",2016,"4b",318,"Medio alto",299,303,74,76,71,76,"ALTO"
"221",2016,"4b",318,"Medio alto",299,303,74,76,71,76,"MEDIO"
"222",2016,"4b",319,"Medio bajo",253,264,74,78,70,79,"MEDIO"
"223",2016,"4b",320,"Medio",247,232,70,67,67,71,"INSUFICIENTE"
"224",2016,"4b",322,"Medio",253,254,73,78,74,81,"INSUFICIENTE"
"225",2016,"4b",322,"Medio",253,254,73,78,74,81,"MEDIO-BAJO"
"226",2016,"4b",324,"Bajo",228,218,74,71,61,76,"INSUFICIENTE"
"227",2016,"4b",324,"Bajo",228,218,74,71,61,76,"MEDIO-BAJO"
"228",2016,"4b",326,"Medio bajo",245,245,70,74,62,76,"MEDIO-BAJO"
"229",2016,"4b",326,"Medio bajo",245,245,70,74,62,76,"MEDIO"
"230",2016,"4b",329,"Medio alto",254,253,74,75,74,77,"MEDIO-BAJO"
"231",2016,"4b",332,"Medio bajo",251,240,76,79,69,78,"INSUFICIENTE"
"232",2016,"4b",332,"Medio bajo",251,240,76,79,69,78,"MEDIO-BAJO"
"233",2016,"4b",335,"Medio bajo",234,213,72,69,66,72,"MEDIO-BAJO"
"234",2016,"4b",336,"Medio alto",264,237,67,69,60,70,"MEDIO-BAJO"
"235",2016,"4b",337,"Medio alto",298,285,71,75,73,76,"ALTO"
"236",2016,"4b",341,"Medio alto",268,271,73,79,72,77,"MEDIO-BAJO"
"237",2016,"4b",341,"Medio alto",268,271,73,79,72,77,"MEDIO"
"238",2016,"4b",342,"Medio alto",286,284,71,78,71,80,"ALTO"
"239",2016,"4b",342,"Medio alto",286,284,71,78,71,80,"MEDIO"
"240",2016,"4b",343,"Medio",252,238,72,78,70,75,"MEDIO-BAJO"
"241",2016,"4b",343,"Medio",252,238,72,78,70,75,"MEDIO"
"242",2016,"4b",344,"Medio alto",278,268,76,82,82,84,"MEDIO"
"243",2016,"4b",350,"Medio alto",303,287,73,76,66,78,"MEDIO"
"244",2016,"4b",350,"Medio alto",303,287,73,76,66,78,"ALTO"
"245",2016,"4b",354,"Alto",266,224,76,81,74,82,"SIN CATEGORIA: BAJA MATRICULA"
"246",2016,"4b",355,"Alto",275,257,72,76,71,74,"MEDIO-BAJO"
"247",2016,"4b",356,"Medio alto",298,282,76,82,77,84,"MEDIO"
"248",2016,"4b",357,"Alto",312,306,77,78,71,81,"ALTO"
"249",2016,"4b",358,"Alto",296,277,83,82,77,84,"MEDIO"
"250",2016,"4b",361,"Alto",307,305,80,81,83,84,"ALTO"
"251",2016,"4b",364,"Alto",276,281,76,80,77,84,"MEDIO"
"252",2016,"4b",365,"Medio alto",285,272,73,77,74,80,"MEDIO-BAJO"
"253",2016,"4b",365,"Medio alto",285,272,73,77,74,80,"MEDIO"
"254",2016,"4b",366,"Alto",291,298,76,74,72,78,"MEDIO"
"255",2016,"4b",366,"Alto",291,298,76,74,72,78,"ALTO"
"256",2016,"4b",367,"Medio bajo",226,212,66,69,66,73,"INSUFICIENTE"
"257",2016,"4b",368,"Medio",245,224,71,67,70,71,"INSUFICIENTE"
